Period,Sd,Sa
2.18,3.1627746585103034,0.026782184190716252
2.19,3.1659364565583066,0.026564686411529544
2.2,3.168067198277058,0.026341454548034205
2.21,3.177271302048488,0.02617944781745461
2.22,3.185737255756501,0.026013257194816675
2.23,3.193438347783137,0.025842798382636926
2.24,3.2003469911895843,0.02566798406754629
2.25,3.2064346827678705,0.02548872376182637
2.2600000000000002,3.2116719594046788,0.02530492363393448
2.27,3.2160283515311323,0.025116486327058266
2.2800000000000002,3.2194723334090707,0.02492331076463861
2.29,3.221971269978199,0.024725291941686413
2.3000000000000003,3.2234913599591994,0.02452232070059049
2.31,3.235832814315269,0.024403540804916423
2.32,3.24758017636875,0.02428145132182966
2.33,3.2587119687250756,0.024155991214993976
2.34,3.2692060675303276,0.024027097504469918
2.35,3.2790396755502607,0.023894705175173912
2.36,3.2881892936748924,0.023758747079653187
2.37,3.296630690730654,0.02361915383473412
2.38,3.304338871471234,0.023475853711560628
2.39,3.311288042606292,0.023328772518492538
2.4,3.3174515767138852,0.023177833476282845
2.41,3.3259064968107483,0.023044467635042604
2.42,3.333649382031702,0.022907617251923494
2.43,3.3406556143799064,0.02276721396292831
2.44,3.346899793016776,0.02262318705167288
2.45,3.352355698790114,0.02247546333016757
2.46,3.35699625651303,0.022323967011611455
2.47,3.360793494811131,0.022168619574529057
2.48,3.3637185033370955,0.022009339617509945
2.49,3.3657413871317705,0.02184604270373681
2.5,3.366831217887951,0.021678641194400463
2.5100000000000002,3.377808551181127,0.021576366831628217
2.52,3.3882350041064524,0.021471538924918668
2.5300000000000002,3.398092362582345,0.02136411298624615
2.54,3.4073619034152363,0.021254043225305372
2.5500000000000003,3.416024374706159,0.021141282492903604
2.56,3.4240599752008887,0.02102578222111015
2.57,3.4314483325105463,0.02090749235992994
2.58,3.4381684801235157,0.02078636131024883
2.59,3.4441988331227704,0.02066233585277611
2.6,3.4495171625151997,0.020535361072684732
2.61,3.458253915525165,0.020429916517801277
2.62,3.4666396212397435,0.020323422376578876
2.63,3.474666418031466,0.02021586595558981
2.64,3.4823262982343124,0.020107234282802647
2.65,3.4896111041424094,0.019997514098761025
2.66,3.4965125238534447,0.01988669184739458
2.67,3.503022086949227,0.01977475366644374
2.68,3.509131160005076,0.0196616853774772
2.69,3.514830941919486,0.01954747247548144
2.7,3.520112459054794,0.01943210011799872
2.71,3.5300316038233346,0.01934330773723461
2.72,3.5396552089127726,0.019253685855334594
2.73,3.548976910956509,0.01916322545804622
2.74,3.5579902398645964,0.019071917354342553
2.75,3.5666886162283786,0.018979752171411752
2.7600000000000002,3.575065348635582,0.018886720349460474
2.77,3.58311363089175,0.018792812136321967
2.7800000000000002,3.590826539143764,0.018698017581859138
2.79,3.598197028901245,0.018602326532154184
2.8000000000000003,3.6052179319509565,0.018505728623473248
2.81,3.6146008401997607,0.018422070277183043
2.82,3.623633764339052,0.018337359966857182
2.83,3.6323084867144995,0.01825158493163697
2.84,3.6406166313506514,0.018164732136065054
