,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
70,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,1.1937652631334823,319.4146728515625,132.7461559900414,1.2719966950371195
71,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,1.1886640076463757,325.0396728515625,134.80943051726484,1.2575315702304464
72,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,1.2526753340775165,316.7896728515625,120.262230784348,1.3289858136782877
73,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,1.2364620288260357,320.9146728515625,125.65470032717143,1.2906426456471205
74,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,1.1996177575131823,325.7896728515625,128.8034501362257,1.2863507561548675
75,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,1.1907838224375609,330.6646728515625,132.42307621796664,1.2604655336573471
76,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,1.1615508865745423,331.4146728515625,127.99947609867833,1.301176709074695
77,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,1.1522450738592256,336.2896728515625,131.86672216245015,1.2736774323839253
78,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,1.1308215192027908,341.9146728515625,134.0856047455386,1.2688423826265234
79,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,1.1255758361825827,347.5396728515625,136.49220540039613,1.2519180787391566
80,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,1.3551393483626346,271.3521728515625,121.01471183779003,1.308230079933296
81,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,1.346136534325013,276.2271728515625,123.4784693226567,1.2908059013683795
82,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,1.3273493521183988,281.8521728515625,124.38783304163154,1.2924804378024848
83,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,1.3216832353794525,287.4771728515625,125.78714975318304,1.2829544029961566
84,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,1.3094525327822826,288.2271728515625,123.86194913832183,1.2993802266601393
85,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,1.303648288372189,293.8521728515625,125.29295163733654,1.28966561300901
86,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,1.2917408213227801,300.2271728515625,125.61805507333558,1.2923068066207408
87,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,1.287392905157291,306.6021728515625,126.42323782276915,1.287295264810238
88,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,1.244836191577103,293.8521728515625,121.72321198922486,1.309342151693786
89,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,1.2354873303844212,298.7271728515625,124.74082279827871,1.2877886436866592
90,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,1.2151660268066058,304.3521728515625,126.07740913430969,1.2880818216016114
