IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
1.6500000000000001,0.23883776418322766,0.18468829797998626,30483.360184694262,123024.82455906246,153508.18474375672,42403.88514525778,195912.0698890145,29517.85604015407,105967.70066166016,135485.55670181423,69163.7964243592,204649.35312617343,60001.21622484834,228992.5252207226,288993.74144557095,111567.68156961698,400561.42301518796,37235.82345009054,142109.20672934718,179345.03017943772,69237.17142823097,37235.82345009054,211346.37815757815,248582.20160766869,98252.38157089072,166928.1080025188,513762.6911810782
1.7000000000000002,0.2641040432153581,0.18900550793780513,32710.389567299244,125905.16315191852,158615.55271921775,43434.845018245425,202050.39773746318,32286.815363818438,108883.86009174943,141170.67545556786,69670.25067747962,210840.9261330475,64997.20493111768,234789.02324366797,299786.2281747856,113105.09569572505,412891.3238705107,38790.82378114577,140123.86588076394,178914.68966190968,67501.97705473939,38790.82378114577,207625.84293550334,246416.6667166491,97211.43436936871,184587.17531760893,528215.2764036267
1.7500000000000002,0.2898782892781514,0.19325652580718683,34758.2073821365,128346.40875148155,163104.61613361805,44593.3761522612,207697.99228587924,35028.09902423335,111727.23516228831,146755.33418652165,70294.46894359964,217049.8031301213,69786.30640636984,240073.64391376986,309859.9503201397,114887.84509586083,424747.79541600053,39979.60184047531,137534.8430131057,177514.44485358102,65817.64446016694,39979.60184047531,203352.48747327266,243332.08931374797,95916.52421591336,202601.27013702274,541849.883666684
1.8,0.3160026497773067,0.19744320918830766,38482.47208550729,130947.10206012568,169429.57414563297,45745.02163438861,215174.59578002157,38997.207265550125,114543.64227035173,153540.84953590186,71019.64427315039,224560.49380905225,77479.67935105742,245490.7443304774,322970.4236815348,116764.665907539,439735.0895890738,42532.215716126884,134761.3384777633,177293.5541938902,64097.58016549092,42532.215716126884,198858.9186432542,241391.1343593811,94389.3715695195,220860.06637811556,556640.5723070162
1.85,0.3423262016941213,0.2015673428739732,42452.567354609404,133298.1171284441,175750.6844830535,46817.541078976945,222568.22556203045,44307.534352495524,117392.79203135268,161700.3263838482,71646.62314633012,233346.94953017833,86760.10170710493,250690.90915979678,337451.0108669017,118464.16422530706,455915.1750922088,45558.44416245289,131639.86166761097,177198.30583006388,62206.50857845097,45558.44416245289,193846.37024606194,239404.81440851482,92652.509091946,239258.08116613256,571315.4046665934
1.9000000000000001,0.36870680304261183,0.2056306419495405,52581.61336692257,139847.97268632462,192429.58605324719,48518.483219366215,240948.0692726134,53493.305513064144,123792.17803022401,177285.48354328814,73184.8741959288,250470.35773921694,106074.91887998671,263640.1507165486,369715.0695965353,121703.35741529502,491418.4270118303,53194.44730832694,132210.25529623835,185404.70260456527,61031.79622130108,53194.44730832694,193242.05151753942,246436.49882586638,90728.85175957064,257695.9688516574,594861.3194370945
1.9500000000000002,0.39501246661391975,0.2096347548398549,59284.66479376126,143317.7896430035,202602.45443676476,50144.89508222283,252747.34951898758,60039.89758934518,127340.46383513657,187380.36142448176,74549.56553410213,261929.92695858388,119324.56238310644,270658.25347814005,389982.81586124655,124694.46061632497,514677.27647757146,57056.366409741604,129418.2536591964,186474.62006893803,59624.042963994085,57056.366409741604,189042.2966231905,246098.6630329321,88641.31382122847,276081.4811458542,610821.4580000148
2.0,0.4211223027749411,0.21358126627944318,63010.3154592472,144807.18377239787,207817.49923164508,51089.599549683284,258907.09878132836,63647.89182974807,128841.24134570605,192489.1331754541,75056.59974319428,267545.7329186484,126658.20728899527,273648.4251181039,400306.6324070992,126146.19929287757,526452.8316999767,57659.91593056348,124575.78174021644,182235.69767077992,57426.82927440576,57659.91593056348,182002.6110146222,239662.52694518567,86412.47586996699,294330.1260597774,620405.1288749301
2.05,0.44692708341356446,0.217471700189677,65609.66490699479,146641.170164229,212250.8350712238,51600.046704773544,263850.88177599735,66127.9834762154,130607.02104193845,196735.00451815384,75368.89262230443,272103.8971404583,131737.64838321018,277248.19120616745,408985.83958937763,126968.93932707797,535954.7789164556,57015.423076709645,119991.68888220996,177007.11195891962,54951.548643683345,57015.423076709645,174943.23752589332,231958.66060260296,84064.30288081005,312365.562056075,628388.5255394881
2.1,0.4723294809305583,0.2213075224522555,67592.10194693833,147545.66409472763,215137.76604166598,52371.495512829206,267509.2615544952,68059.8763918958,131519.09591939478,199578.97231129056,75912.23702291986,275491.20933421043,135651.97833883413,279064.7600141224,414716.73835295654,128283.73253574906,543000.4708887057,55738.456993306725,114665.77424725752,170404.23124056423,52710.89590027548,55738.456993306725,167376.670147533,223115.12714083973,81617.91217685319,330119.7650848163,634852.8044025092
2.15,0.49724403535522743,0.2250901435725916,67954.53921749131,147807.25678711678,215761.7960046081,52976.2176162502,268738.0136208583,68273.41945709348,131778.06347035777,200051.48292745126,75697.55970819852,275749.0426356498,136227.9586745848,279585.32025747455,415813.27893205936,128673.77732444872,544487.0562565081,53073.12566975445,108923.79935670145,161996.9250264559,50130.08798476941,53073.12566975445,159053.88734147087,212127.01301122532,79093.38887480345,347533.005600019,638753.4074860478
2.1999999999999997,0.5215968999703277,0.2288209212298482,66665.26371896008,147370.5218327863,214035.78555174638,53156.97982109213,267192.7653728385,66958.481497633,131376.4310904613,198334.9125880943,75214.57545621034,273549.48804430466,133623.7452165931,278746.9529232476,412370.6981398407,128371.55527730247,540742.2534171431,49298.40454678671,102839.3571001926,152137.7616469793,47360.690677414044,49298.40454678671,150200.04777760664,199498.45232439335,76509.64536866904,364553.67077222146,640561.7684652838
2.25,0.545325411902292,0.23250116271272797,65705.7869330108,146775.55997452541,212481.3469075362,53310.90063153836,265792.24753907457,65983.66992878057,130849.38568661561,196833.05561539618,74782.68980883327,271615.7454242294,131689.45686179138,277624.945661141,409314.4025229324,128093.59044037163,537407.992963304,45954.64491539233,96880.6167292691,142835.26164466143,44699.82339438816,45954.64491539233,141580.44012365726,187535.0850390496,73884.32077224109,381137.9643660909,642557.3701773816
2.3,0.5683775294708937,0.23613212724184757,66314.67242283616,146406.63063963427,212721.30306247043,53568.77071970745,266290.0737821779,66374.61333623408,130456.73541657082,196831.34875280492,74438.8748284962,271270.2235813011,132689.28575907025,276863.3660562051,409552.6518152753,128007.64554820365,537560.2973634789,43747.99433294149,91282.55457805879,135030.54891100025,42204.445671554095,43747.99433294149,133487.00024961287,177234.99458255435,71233.71589340034,397249.5134937499,645718.2239697046
2.35,0.5907111730895677,0.23971502818078116,71060.00771283309,149698.59692758645,220758.60464041954,55512.52465441651,276271.1292948361,71173.46445255584,133551.10745537817,204724.571907934,76902.64732912593,281627.21923705994,142233.47216538893,283249.70438296464,425483.1765483535,132415.17198354244,557898.348531896,44259.663449371306,88140.55086517507,132400.21431454635,41204.442655857056,44259.663449371306,129344.99352103213,173604.65697040345,68572.75919625587,412858.9079578837,655036.324124543
2.4,0.6122935014563338,0.2432510351387519,75560.86320670557,151253.08778488205,226813.95099158763,57630.51886906705,284444.4698606547,75486.11148846213,135102.4442677306,210588.55575619274,78950.98454178139,289539.54029797413,151046.9746951677,286355.53205261263,437402.50674778037,136581.50341084844,573984.0101586288,44316.652418626465,84015.70840950099,128332.36082812746,40072.533896739194,44316.652418626465,124088.2423062402,168404.89472486667,65914.99926685728,427943.19436825847,662263.0883599825
2.45,0.6331001498852724,0.24674127596856,77002.1242709579,152042.43210510007,229044.55637605797,58585.48843033923,287630.04480639717,76929.7331710587,135920.1376056262,212849.8707766849,79554.42826226036,292404.29903894523,153931.8574420166,287962.56971072627,441894.42715274286,138139.9166925996,580034.3438453424,42542.22639978769,79584.36309984067,122126.58949962836,38177.79963447827,42542.22639978769,117762.16273431895,160304.38913410663,63272.61948790386,442485.3437975748,666062.3524195853
2.5,0.65311445304164,0.25018683866374114,77281.53043391043,152301.1882987128,229582.71873262324,59251.661471089275,288834.3802037125,77282.26400957094,136228.59731891073,213510.86132848167,80005.14559566785,293516.0069241495,154563.79444348137,288529.78561762354,443093.5800611049,139256.80706675712,582350.3871278621,40201.94224983891,75046.40928700559,115248.35153684451,36220.60480432801,40201.94224983891,111267.0140913336,151468.9563411725,60656.470907999596,456473.7085367381,668599.1357859103
2.55,0.6723266701484043,0.25358877315919093,77775.67486798976,152688.48919371638,230464.16406170613,59669.30794564626,290133.4720073524,77711.27666502658,136559.03920872798,214270.31587375456,80375.42342603175,294645.7392997863,155486.95153301634,289247.5284024443,444734.4799354607,140044.731371678,584779.2113071387,38028.85122570117,70743.88632979679,108772.73755549797,34252.007655741785,38028.85122570117,104995.89398553857,143024.74521123973,58076.11962906161,469901.48057745054,671002.3454177519
2.6,0.690733226975162,0.2569480930396109,78391.41402955292,153020.90082446605,231412.31485401897,59698.751420307126,291111.0662743261,78474.46878915788,136988.38245653754,215462.85124569543,80243.22004980248,295706.07129549794,156865.88281871082,290009.2832810036,446875.1660997144,139941.9714701096,586817.137569824,36047.9783785483,66644.50029184378,102692.47867039208,32158.842134181494,36047.9783785483,98803.34242602528,134851.3208045736,55539.90540548551,482766.1618243171,673157.3880343762
