,he1,hi1,b1,h1,he2,hi2,b2,h2,T,Weight,Mstar,Part Factor
142,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.37403804314691963,2370.4375,291.28192263231495,1.1863569986201588
143,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.3479774953110051,2416.75,288.7677911277293,1.1916939970580898
144,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39282507550815493,2401.0,294.96672966695223,1.1782437036806181
145,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.3657964179301858,2442.4375,293.6548233785822,1.1811702947030394
146,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.33937216145031296,2488.75,291.3238653155378,1.1862665525891125
147,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.3892236484706968,2473.0,295.93564686282195,1.1760563820252306
148,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.36123452836811604,2514.4375,294.98242218584016,1.1782084509377788
149,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.33453227894600696,2560.75,292.79457970520696,1.1830668161682303
150,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.33763719373191275,2384.4374999999995,286.2093315030955,1.1969468316716165
151,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.31910667968451595,2430.7499999999995,284.6402078753094,1.2000744814286206
152,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3017433363557736,2481.9374999999995,282.066809160296,1.205040758936348
153,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.33763719373191386,2465.4374999999995,286.20933150309554,1.196946831671616
154,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.319052380634668,2511.7499999999995,284.65618751538426,1.2000430021616724
155,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3015667786994811,2562.9374999999995,282.11953581664784,1.2049411039396551
156,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3376371937319129,2546.4374999999995,286.2093315030956,1.1969468316716163
157,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3189926938042538,2592.7499999999995,284.67374180307473,1.200008411967061
158,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.301370991907495,2643.9374999999995,282.1779432778607,1.2048306075530286
159,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.33763719373191314,2627.4374999999995,286.2093315030954,1.1969468316716163
160,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3189329092185522,2673.7499999999995,284.6913153967698,1.1999737743660637
161,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.3011729383007171,2724.9374999999995,282.23697754510926,1.2047188138967495
162,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.33357586782627735,2460.3749999999995,287.4223155691775,1.1944795681705849
163,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.31553566813750145,2506.6874999999995,285.73469287315544,1.1979006249402568
164,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.2981298791443889,2557.8749999999995,283.18336149411186,1.2029114652959112
165,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.32888848583345554,2541.3749999999995,288.77792137316226,1.1916728335186542
166,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.31004959062385123,2587.6874999999995,287.38035771595514,1.1945656169846721
167,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.2923275893293631,2638.8749999999995,284.9523138227404,1.199458245408605
168,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.32888848583345504,2622.3749999999995,288.7779213731622,1.1916728335186542
169,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.30999062101982194,2668.6874999999995,287.3990430198968,1.1945273026053547
170,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.2921315196592674,2719.8749999999995,285.01543215652174,1.199333264126806
171,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.3288884858334541,2703.3749999999995,288.77792137316214,1.1916728335186544
172,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.30993075619691096,2749.6874999999995,287.4180185203179,1.1944883830253492
173,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.2919305838395919,2800.8749999999995,285.08015315589245,1.1992049848949355
174,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.33357586782627624,2536.3124999999995,287.42231556917733,1.1944795681705853
175,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.31547007924026965,2582.6249999999995,285.75451843889766,1.1978609180105833
176,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.29790362904778056,2633.8124999999995,283.2527112942231,1.2027779110249885
177,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3251973284903594,2617.3124999999995,289.9667607616529,1.1891698055997526
178,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3068416623236214,2663.6249999999995,288.4477562414995,1.1923611415611313
179,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.28903614598300303,2714.8124999999995,286.06182380985047,1.1972439596529325
180,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3213151081837238,2698.3124999999995,291.15214925647183,1.1866365573639122
181,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3021800260534728,2744.6249999999995,289.93992201563725,1.1892267325922445
182,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.28407128174589563,2795.8124999999995,287.689260405508,1.1939309388194275
183,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3213151081837241,2779.3124999999995,291.15214925647166,1.1866365573639124
184,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.3021208725609771,2825.6249999999995,289.96002915112285,1.1891840856536096
185,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.28387015514701996,2876.8124999999995,287.7589125687838,1.193787457404735
