,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
154,0.35,0.35,0.3,0.45,0.3,0.35,0.3,0.45,0.3,0.35,0.3,0.45,0.9290143041571062,240.5425696484375,101.58622050155495,1.2467101227658322
155,0.35,0.35,0.3,0.45,0.35,0.35,0.3,0.45,0.3,0.3,0.3,0.45,0.928596994823782,235.72303292968752,98.66210528701659,1.2757109896934355
156,0.35,0.35,0.3,0.45,0.35,0.35,0.3,0.45,0.3,0.35,0.3,0.45,0.9154913264835121,240.59803292968752,101.93229758049065,1.2507214106511582
157,0.35,0.35,0.3,0.5,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.5,0.9383080522173433,251.04256964843745,98.55934510945019,1.2554606240016875
158,0.35,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.3,0.3,0.3,0.5,0.8911541652864406,255.91756964843745,99.54074175337347,1.2668036943015424
159,0.35,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.8794322010894943,260.79256964843745,102.90512042779768,1.2404638605920213
160,0.35,0.35,0.3,0.5,0.35,0.35,0.3,0.5,0.3,0.3,0.3,0.5,0.8781059641418445,255.97303292968746,99.73351170888877,1.2724816182394267
161,0.35,0.35,0.3,0.5,0.35,0.35,0.3,0.5,0.3,0.35,0.3,0.5,0.8650198631318179,260.84803292968746,103.41851452125249,1.2439783326466716
162,0.35,0.35,0.3,0.55,0.3,0.3,0.3,0.55,0.3,0.3,0.3,0.55,0.9028293301630529,271.2925696484375,99.12350178048685,1.2531440452501579
163,0.35,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.3,0.3,0.3,0.55,0.8550362788741767,276.1675696484375,100.26861467506819,1.2644728370622733
164,0.35,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.8432688507270103,281.0425696484375,103.93236820588116,1.2355750136411874
165,0.35,0.35,0.3,0.55,0.35,0.35,0.3,0.55,0.3,0.3,0.3,0.55,0.8410528395652714,276.2230329296875,100.57064339419829,1.2699902205312017
166,0.35,0.35,0.3,0.55,0.35,0.35,0.3,0.55,0.3,0.35,0.3,0.55,0.827971707639433,281.0980329296875,104.59945975775187,1.238571632421615
167,0.35,0.35,0.3,0.6,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.6,0.8763160246006916,291.54256964843745,99.55218159408828,1.2514442522839142
168,0.35,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.3,0.3,0.3,0.6,0.8282803146197698,296.41756964843745,100.82620598495777,1.2627099584623676
169,0.35,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.8164560026262677,301.29256964843745,104.73328484020203,1.2317419913072016
170,0.35,0.35,0.3,0.6,0.35,0.35,0.3,0.6,0.3,0.3,0.3,0.6,0.8133631372591578,296.47303292968746,101.22813304203225,1.2680410555483266
171,0.35,0.35,0.3,0.6,0.35,0.35,0.3,0.6,0.3,0.35,0.3,0.6,0.8002951135353514,301.34803292968746,105.5365738479326,1.2342468367385113
172,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8856433945809579,271.0284962109375,103.83505508045238,1.2380969553617196
173,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8401745426782758,294.6534962109375,105.44292551924731,1.2298693368274087
174,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8069468676803929,318.27849621093753,106.73091812944782,1.2231673079796734
175,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.7822010074619098,341.9034962109374,107.76370243302821,1.2177122506481044
176,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.76344673206834,365.5284962109374,108.5946934301512,1.2132651115735051
177,0.35,0.39999999999999997,0.25,0.45,0.3,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.9361027241698394,211.8308266796875,91.76336850145736,1.3016319653892294
178,0.35,0.39999999999999997,0.25,0.45,0.3,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.9189239603728271,216.7058266796875,95.42011059652093,1.2752349030090728
179,0.35,0.39999999999999997,0.25,0.45,0.3,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.8926233679825917,222.3308266796875,95.46199551256785,1.2865768897745722
180,0.35,0.39999999999999997,0.25,0.45,0.3,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.88273670581236,227.9558266796875,97.71366531020041,1.2699034019230508
181,0.35,0.39999999999999997,0.25,0.5,0.3,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.8797108756021174,228.7058266796875,92.00224424067765,1.3034475938175663
182,0.35,0.39999999999999997,0.25,0.5,0.3,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.8616504808511276,233.5808266796875,96.28773966085998,1.2722382354115236
